simple_sku,brand,product_name,price,discounted_price,cat_m,parent_of_cat_1,category_1,picture_url,URL
SA728ELAZYB7ANPH-1457233,SanDisk,Sandisk SDSQUNB-064G 64GB 48MB/s Ultra Micro SDXC (White/Grey),1999.00,945.00,Cameras,Camera Accessories,Memory cards,http://srv-live.lazada.com.ph/p/image-7680121-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fsandisk-sdsqunb-064g-64gb-48mbs-ultra-micro-sdxc-whitegrey-1210867.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
SA728ELAZYBNANPH-1457249,SanDisk,Sandisk SDSQUNB-032G 32GB 48MB/s Ultra Micro SDHC,999.00,509.90,Cameras,Camera Accessories,Memory cards,http://srv-live.lazada.com.ph/p/image-3880121-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fsandisk-sdsqunb-032g-32gb-48mbs-ultra-micro-sdhc-1210883.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HLAZW7HANPH-1453851,Unbranded,Mibacle Blade 13-Piece Knife Set (Black),599.00,397.00,Home & Living,Kitchen & Dining,Cooking Knives,http://srv-live.lazada.com.ph/p/image-1418021-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fmibacle-blade-13-piece-knife-set-black-1208141.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
KE671HLAZYFZANPH-1457409,Keimav,Keimav Cookware Set with Nylon Kitchen Utensil 20-piece Set,8000.00,1199.00,Home & Living,Kitchen & Dining,Cookware,http://srv-live.lazada.com.ph/p/image-9301121-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fkeimav-cookware-set-with-nylon-kitchen-utensil-20-piece-set-1211039.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HLBA7XFANPH-1469790,Unbranded,Electronic Bug Mosquito Killer Set of 2 (Black),1998.00,499.99,Home & Living,Home Improvement,Electrical,http://srv-live.lazada.com.ph/p/image-1333221-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Felectronic-bug-mosquito-killer-set-of-2-black-1223331.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308ELBAL5IANPH-1488988,Unbranded,50000 mAh Mobile Power Bank (Pink) Buy 1 Take 1,999.00,899.00,Mobiles & Tablets,Batteries & Chargers,Power bank,http://srv-live.lazada.com.ph/p/image-0740421-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2F50000-mah-mobile-power-bank-pink-buy-1-take-1-1240470.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
HO195HLBAPQ9ANPH-1494993,Home Discovery,Home Discovery Heat Resistant Rectangular Tempered Glass Baking Dish 2.5 Liter Set of 2,889.75,649.00,Home & Living,Kitchen & Dining,Bakeware,http://srv-live.lazada.com.ph/p/image-1046421-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fhome-discovery-heat-resistant-rectangular-tempered-glass-baking-dish-25-liter-set-of-2-1246401.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
HO195HLBAPR6ANPH-1495028,Home Discovery,Home Discovery Heat Resistant Rectangular Tempered Glass Baking Dish 3 Liter Set of 2,1029.75,739.00,Home & Living,Kitchen & Dining,Bakeware,http://srv-live.lazada.com.ph/p/image-4346421-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fhome-discovery-heat-resistant-rectangular-tempered-glass-baking-dish-3-liter-set-of-2-1246434.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
NA128HBBATEYANPH-1500044,Nautica,Nautica Classic Eau De Toilette for Men 100ml,3100.00,550.00,Health & Beauty,Fragrances,Men - Eau De Parfume,http://srv-live.lazada.com.ph/p/image-8711521-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fnautica-classic-eau-de-toilette-for-men-100ml-1251178.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
NA128HBBATF2ANPH-1500048,Nautica,Nautica Blue Eau de Toilette for Men 100ml,3100.00,550.00,Health & Beauty,Fragrances,Men - Eau De Toilette,http://srv-live.lazada.com.ph/p/image-2811521-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fnautica-blue-eau-de-toilette-for-men-100ml-1251182.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308SPBATJAANPH-1500210,Unbranded,CWL-Ab Glider (Red),8000.00,2799.00,Sports & Outdoors,,Yoga Fitness Accessories,http://srv-live.lazada.com.ph/p/image-4331521-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fcwl-ab-glider-red-1251334.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308ELBAYYEANPH-1509260,Unbranded,20000 mAh Mobile Power Bank (Skyblue) Buy 1 Take 1,999.00,619.00,Mobiles & Tablets,Batteries & Chargers,Power bank,http://srv-live.lazada.com.ph/p/image-8538521-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2F20000-mah-mobile-power-bank-skyblue-buy-1-take-1-1258358.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
TI011OTBAO2VANPH-1492802,Timeless,Unisex Black Jelly Silicone Strap Digital LED Sports Wrist Watch,1000.00,198.50,Watches Sunglasses Jewellery,Watches,Men,http://srv-live.lazada.com.ph/p/image-3624421-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Funisex-black-jelly-silicone-strap-digital-led-sports-wrist-watch-1244263.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
IN943HBBAWLMANPH-1505740,Intimate Secret,Intimate Secret Body Mist Sheer Attraction 250 ml (Pink),1399.00,199.00,Health & Beauty,Fragrances,Women - Fragrance Sets and Minis,http://srv-live.lazada.com.ph/p/image-6035521-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fintimate-secret-body-mist-sheer-attraction-250-ml-pink-1255306.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
MO034ELBB15SANPH-1518847,Modoex,Modoex M8 Bluetooth Smartwatch (White) with FREE Mini Metal Clip MP3 Player,3200.00,699.00,"TV, Audio / Video, Gaming, Gadgets",Wearable Technology,Smart Watches,http://srv-live.lazada.com.ph/p/image-6121621-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fmodoex-m8-bluetooth-smartwatch-white-with-free-mini-metal-clip-mp3-player-1261216.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HLBB19RANPH-1518995,Unbranded,Rechargeable Police Flashlight with Stun Gun Taser (Black) Set of 5,1699.00,999.00,Home & Living,Home Improvement,Flashlights,http://srv-live.lazada.com.ph/p/image-9531621-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Frechargeable-police-flashlight-with-stun-gun-taser-black-set-of-5-1261359.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
MY328ELBB1MQANPH-1519479,My View,"My View 19"" LED TV Black 19EX200F with FREE Wall Bracket",7000.00,4898.00,"TV, Audio / Video, Gaming, Gadgets",Televisions,LED Televisions,http://srv-live.lazada.com.ph/p/image-6281621-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fmy-view-19-led-tv-black-19ex200f-with-free-wall-bracket-1261826.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
TO558HLBB1OAANPH-1519570,Touch Me,Automatic Toothpaste Dispenser and Tooth Brush Holder Set (Red),999.00,191.00,Home & Living,Bath,Bathroom Accessories,http://srv-live.lazada.com.ph/p/image-2881621-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fautomatic-toothpaste-dispenser-and-tooth-brush-holder-set-red-1261882.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
SA728ELBAZW4ANPH-1513466,SanDisk,Sandisk Cruzer Orbit 16GB USB Flash Drive,599.00,320.00,Computers & Laptops,Storage,USB Flash Drives,http://srv-live.lazada.com.ph/p/image-2759521-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fsandisk-cruzer-orbit-16gb-usb-flash-drive-1259572.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
SA728ELBAZW5ANPH-1513467,SanDisk,Sandisk Cruzer Orbit 32GB USB Flash Drive,799.00,499.00,Computers & Laptops,Storage,USB Flash Drives,http://srv-live.lazada.com.ph/p/image-3759521-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fsandisk-cruzer-orbit-32gb-usb-flash-drive-1259573.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
HO195HLBAR61ANPH-1496936,Home Discovery,Home Discovery Heat Resistant Tempered Glass Oval Casserole W/ Cover 1.5 Liter Set of 2,889.75,649.00,Home & Living,Kitchen & Dining,Bakeware,http://srv-live.lazada.com.ph/p/image-5628421-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fhome-discovery-heat-resistant-tempered-glass-oval-casserole-w-cover-15-liter-set-of-2-1248265.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HLBBD53ANPH-1542196,Unbranded,Amazing Shoe Rack (Black),3099.00,284.60,Home & Living,Furniture,Hallway & Entry Furniture,http://srv-live.lazada.com.ph/p/image-3476721-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Famazing-shoe-rack-black-1276743.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HLBBEQGANPH-1544462,Unbranded,Expandable 100ft Garden Hose (Blue) WITH FREE EZ JET,1299.00,465.00,Home & Living,Outdoor & Garden,Lawn & Garden,http://srv-live.lazada.com.ph/p/image-8088721-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fexpandable-100ft-garden-hose-blue-with-free-ez-jet-1278808.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
AU087ELBB9O7ANPH-1535947,Aukey,Aukey Quick Charge 2.0 54W 5 Ports USB Desktop Charging Station Wall Charger (Black),2700.00,1520.00,Mobiles & Tablets,Batteries & Chargers,Chargers,http://srv-live.lazada.com.ph/p/image-7422721-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Faukey-quick-charge-20-54w-5-ports-usb-desktop-charging-station-wall-charger-black-1272247.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HLAMMU4ANPH-749029,Unbranded,Amazing Shoe Rack Set of 2 (White),1599.00,489.99,Home & Living,Furniture,Hallway & Entry Furniture,http://srv-live.lazada.com.ph/p/image-864985-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Famazing-shoe-rack-set-of-2-white-589468.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HAAM78KANPH-731230,Unbranded,Electron Go Out Mosquito Mini Night Lamp,599.00,199.00,Home & Living,Home Improvement,Electrical,http://srv-live.lazada.com.ph/p/image-252965-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Felectron-go-out-mosquito-mini-night-lamp-569252.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
GE637FAALJGHANPH-693532,GENEVA,Geneva Womens Rose-Gold Stainless Steel Strap Watch,1588.00,794.00,Watches Sunglasses Jewellery,Watches,Women,http://srv-live.lazada.com.ph/p/image-334835-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fgeneva-womens-rose-gold-stainless-steel-strap-watch-538433.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HLALZP8ANPH-719669,Unbranded,Digital 5KG/1G LCD Electronic Kitchen Weighing Scale,800.00,232.27,Home & Living,Kitchen & Dining,Kitchen Tools & Accessories,http://srv-live.lazada.com.ph/p/image-484955-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fdigital-5kg1g-lcd-electronic-kitchen-weighing-scale-559484.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HAAM7KNANPH-731736,Unbranded,Electric Outdoor Barbecue Grill Black with FREE Gentry Cup,1999.00,657.00,Home Appliances,Small Kitchen Appliances,Electric Grills,http://srv-live.lazada.com.ph/p/image-786965-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Felectric-outdoor-barbecue-grill-black-with-free-gentry-cup-569687.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
CO618FAAN5MGANPH-778350,Cotton Republic,Cotton Republic Fashionable Plain Leggings (Black),500.00,199.00,Fashion,Women,Clothing,http://srv-live.lazada.com.ph/p/image-618316-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fcotton-republic-fashionable-plain-leggings-black-613816.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HBALJSZANPH-694120,Unbranded,Hot Shaper Womens Shapewear for Belly (Black),920.00,300.00,Fashion,Women,Clothing,http://srv-live.lazada.com.ph/p/image-388835-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fhot-shaper-womens-shapewear-for-belly-black-538883.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308ELANAZ0ANPH-785705,Unbranded,DVR Fashion Watch with Spy Camera 8GB (Silver),1999.00,737.00,Cameras,Gadgets & Other Cameras,Spy Cameras,http://srv-live.lazada.com.ph/p/image-847026-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fdvr-fashion-watch-with-spy-camera-8gb-silver-620748.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
BL479FAAN816ANPH-781504,Blue lans,Bluelans Unisex Roman Numerals Brown Faux Leather Strap Watch,1316.00,658.00,Watches Sunglasses Jewellery,Watches,Men,http://srv-live.lazada.com.ph/p/image-839616-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fbluelans-unisex-roman-numerals-brown-faux-leather-strap-watch-616938.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
BL479FAAN86XANPH-781711,Blue lans,Bluelans Faux Womens Red Leather Strap Watch,1552.00,776.00,Watches Sunglasses Jewellery,Watches,Women,http://srv-live.lazada.com.ph/p/image-541716-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fbluelans-faux-womens-red-leather-strap-watch-617145.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
LO614ELAOGLRANPH-841778,Logitech,Logitech H110 Noise-cancelling microphone Stereo Headset,650.00,495.00,"TV, Audio / Video, Gaming, Gadgets",Portable Audio,Headphones & Headsets,http://srv-live.lazada.com.ph/p/image-307476-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Flogitech-h110-noise-cancelling-microphone-stereo-headset-674703.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HAANF6MANPH-791877,Unbranded,Portable Car Electronic 2-in-1 Cooling and Warming Refrigerator Fridge Storage 7.5L,8999.00,1267.99,Home Appliances,Large Appliances,Refrigerators,http://srv-live.lazada.com.ph/p/image-602626-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fportable-car-electronic-2-in-1-cooling-and-warming-refrigerator-fridge-storage-75l-626206.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HLAOH88ANPH-842895,Aiwa,Aiwa 40-piece S Combination Socket Wrench Set,2100.00,379.00,Home & Living,Home Improvement,Power & Hand Tools,http://srv-live.lazada.com.ph/p/image-215576-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Faiwa-40-piece-s-combination-socket-wrench-set-675512.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308TBAOIBCANPH-844630,Unbranded,Kitchen Set 008-58,2500.00,1298.00,"Toys, Kids & Babies",Toys,Pretend Play,http://srv-live.lazada.com.ph/p/image-029676-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fkitchen-set-008-58-676920.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308SPAOIEHANPH-844753,Unbranded,Ab Generator Power Planking,6999.00,3458.00,Sports & Outdoors,,,http://srv-live.lazada.com.ph/p/image-330776-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fab-generator-power-planking-677033.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
BL479FAAN314ANPH-774722,Blue lans,Blue lans 18K Austrian Crystal Bangles (Gold White),1248.00,624.00,Watches Sunglasses Jewellery,Jewellery,Women,http://srv-live.lazada.com.ph/p/image-654016-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fblue-lans-18k-austrian-crystal-bangles-gold-white-610456.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
TR652OTAOIL4ANPH-845098,Travel Manila,Travel Manila Waterproof Packing Cubes (Gray) 5 Piece Set,1100.00,381.00,Travel & Luggage,Packing Organizers,Organizer Sets,http://srv-live.lazada.com.ph/p/image-272776-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Ftravel-manila-waterproof-packing-cubes-gray-5-piece-set-677272.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
TR652OTAOIM1ANPH-845131,Travel Manila,Travel Manila Hanging Travel Mate Toiletry Kit Bag (Pink),400.00,189.50,Travel & Luggage,Packing Organizers,,http://srv-live.lazada.com.ph/p/image-503776-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Ftravel-manila-hanging-travel-mate-toiletry-kit-bag-pink-677305.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
